date,mddl_m,frl_level_m,frl_stg_mcm,frl_stg_mu,reservoir,level_m,storage_mcm,storage_pct,gen_capability_gross_mu,gen_capability_station_mu,rf_mm,spill,inflow_mcm_day,cum_inflow_month_mu,prev_day_storage_pct,remarks
2021-10-24,1188,1207.008,48.968,65.616,ANAYIRANKAL,1205.68,42.89,88,117.867,41.491,,,5.32,90.482,87,
2021-10-24,678.8,707.745,47.4,63.516,PONMUDI,707.3,45.07,95,0,,,1.917,,,95,
2021-10-24,445,456.59,5.557,4.835,NERIAMANGALAM,456.35,5.375,97,4.676,2.203,,4.53,4.805,86.26,89,
2021-10-24,405.689,423.976,30.356,10.625,PORINGAL,417.2,13.58,45,4.753,4.753,10,14.523,4.977,120.671,50,
2021-10-24,844.86,847.6,1.614,0.71,SENGULAM (SBR),846.75,,0,0,,,,,,,
2021-10-24,237.74,253,4.55,2.093,LOWER PERIYAR,253,4.55,100,2.093,2.093,9,,,53.902,100,
2021-10-24,181.36,192.63,1.16,0.358,KAKKAD,185.75,,0,0,,,0.073,,,,
2021-10-25,694.944,732.43,1460,2190,IDUKKI,730.941,1376.575,94,2064.863,2023.565,20.6,3.683,18.708,640.174,94,2398.1
2021-10-25,963.168,986.332,31.001,59.46,PAMBA,981.7,22.35,90,824.621,694.565,17,,5.263,347.008,90,
2021-10-25,908.304,981.456,446.542,856.467,KAKKI,979.276,407.588,0,0,,,,,,,
2021-10-25,779.374,811.68,149.23,152.065,SHOLAYAR,811.256,145.37,97,148.132,96.962,34,,1.982,50.403,97,2661.6
2021-10-25,115,169,1017.8,254.45,IDAMALAYAR,165.41,914.09,90,228.523,228.523,32.6,,1.909,63.522,90,
2021-10-25,1735.836,1758.696,7.787,22.738,KUNDALA,1758.1,7.32,94,166.352,71.953,,,0.961,27.087,94,2
2021-10-25,1554.48,1599.59,55.217,161.234,MADUPPATTY,1597.7,49.65,90,0,,,,,,90,2
2021-10-25,737.616,758.037,33.99,42.827,KUTTIADI,750.571,16.929,50,234.208,226.772,,,2.633,80.593,48,
2021-10-25,750.5,775.6,201,253.26,THARIODE,772.95,168.95,84,0,,,,,,84,
2021-10-25,1188,1207.008,48.968,65.616,ANAYIRANKAL,1205.93,44.015,90,119.709,42.139,52,,6.596,97.077,88,
2021-10-25,678.8,707.745,47.4,63.516,PONMUDI,707.4,45.32,96,0,,18,1.944,,,95,
2021-10-25,445,456.59,5.557,4.835,NERIAMANGALAM,456.1,5.2,94,4.524,2.131,19,4.948,4.61,90.87,97,
2021-10-25,405.689,423.976,30.356,10.625,PORINGAL,420,19.75,65,6.913,6.913,5,2.613,3.588,124.259,45,
2021-10-25,844.86,847.6,1.614,0.71,SENGULAM (SBR),846.7,,0,0,,,,,,,
2021-10-25,237.74,253,4.55,2.093,LOWER PERIYAR,253,4.55,100,2.093,2.093,15,4.59,1.903,57.956,100,
2021-10-25,181.36,192.63,1.16,0.358,KAKKAD,186.35,,0,0,,,,,,,
2021-10-26,694.944,732.43,1460,2190,IDUKKI,730.898,1374.258,94,2061.387,2020.159,6.4,3.672,17.139,657.313,94,2397.96
2021-10-26,963.168,986.332,31.001,59.46,PAMBA,981.5,21.99,90,823.931,693.983,32,,10.473,357.481,90,
2021-10-26,908.304,981.456,446.542,856.467,KAKKI,979.27,407.588,0,0,,13,2.628,,,,
2021-10-26,779.374,811.68,149.23,152.065,SHOLAYAR,811.195,144.846,97,147.598,96.612,4,,1.456,51.859,97,2661.4
2021-10-26,115,169,1017.8,254.45,IDAMALAYAR,165.42,914.38,90,228.595,228.595,22.6,,1.782,65.304,90,
2021-10-26,1735.836,1758.696,7.787,22.738,KUNDALA,1758,7.25,93,166.148,71.865,,,0.774,27.861,94,2
2021-10-26,1554.48,1599.59,55.217,161.234,MADUPPATTY,1597.6,49.65,90,0,,,,,,90,2
2021-10-26,737.616,758.037,33.99,42.827,KUTTIADI,750.632,17.05,50,233.604,226.188,7,,1.88,82.472,50,
2021-10-26,750.5,775.6,201,253.26,THARIODE,772.9,168.35,84,0,,,,,,84,
2021-10-26,1188,1207.008,48.968,65.616,ANAYIRANKAL,1206.05,44.555,91,120.098,42.276,,,6.011,103.088,90,
2021-10-26,678.8,707.745,47.4,63.516,PONMUDI,707.3,45.07,95,0,,7,2.591,,,96,
2021-10-26,445,456.59,5.557,4.835,NERIAMANGALAM,455.7,4.92,89,4.28,2.016,,5.501,4.428,95.298,94,
2021-10-26,405.689,423.976,30.356,10.625,PORINGAL,420,19.75,65,6.913,6.913,12,6.258,2.707,126.966,65,
2021-10-26,844.86,847.6,1.614,0.71,SENGULAM (SBR),846.7,,0,0,,,,,,,
2021-10-26,237.74,253,4.55,2.093,LOWER PERIYAR,253,4.55,100,2.093,2.093,4,5.364,2.003,59.96,100,
2021-10-26,181.36,192.63,1.16,0.358,KAKKAD,189.7,,0,0,,,0.185,,,,
2021-10-27,694.944,732.43,1460,2190,IDUKKI,730.971,1378.23,94,2067.345,2025.998,76.6,1.257,23.002,680.314,94,2398.2
2021-10-27,963.168,986.332,31.001,59.46,PAMBA,981.2,21.45,90,827.354,696.867,35,,11.029,368.511,90,
2021-10-27,908.304,981.456,446.542,856.467,KAKKI,979.41,409.913,0,0,,54,0.629,,,,
2021-10-27,779.374,811.68,149.23,152.065,SHOLAYAR,811.164,144.591,97,147.338,96.442,27,,1.73,53.59,97,2661.3
2021-10-27,115,169,1017.8,254.45,IDAMALAYAR,165.54,917.84,90,229.46,229.46,68,,2.522,67.826,90,
2021-10-27,1735.836,1758.696,7.787,22.738,KUNDALA,1758,7.25,93,165.053,71.391,,,,27.732,93,2
2021-10-27,1554.48,1599.59,55.217,161.234,MADUPPATTY,1597.55,49.275,89,0,,,,,,89,2
2021-10-27,737.616,758.037,33.99,42.827,KUTTIADI,750.266,16.318,48,232.682,225.295,13,,1.523,83.995,50,
2021-10-27,750.5,775.6,201,253.26,THARIODE,772.9,168.35,84,0,,,,,,84,
2021-10-27,1188,1207.008,48.968,65.616,ANAYIRANKAL,1206.15,45.005,92,121.196,42.663,,,5.995,109.083,91,
2021-10-27,678.8,707.745,47.4,63.516,PONMUDI,707.45,45.44,96,0,,63,2.051,,,95,
2021-10-27,445,456.59,5.557,4.835,NERIAMANGALAM,455.75,4.955,89,4.311,2.031,33,4.554,4.346,99.645,89,
2021-10-27,405.689,423.976,30.356,10.625,PORINGAL,420.2,20.25,67,7.088,7.088,,6.453,2.974,129.94,65,
2021-10-27,844.86,847.6,1.614,0.71,SENGULAM (SBR),846.5,,0,0,,,,,,,
2021-10-27,237.74,253,4.55,2.093,LOWER PERIYAR,253,4.55,100,2.093,2.093,16,7.767,3.549,63.509,100,
2021-10-27,181.36,192.63,1.16,0.358,KAKKAD,190.3,,0,0,,,0.179,,,,
2021-10-28,694.944,732.43,1460,2190,IDUKKI,731.008,1380.216,95,2070.324,2028.918,4.8,,18.199,698.514,94,2398.32
2021-10-28,963.168,986.332,31.001,59.46,PAMBA,981.4,21.81,91,837.827,705.688,34,,16.771,385.281,90,
2021-10-28,908.304,981.456,446.542,856.467,KAKKI,979.709,415.013,0,0,,39,,,,,
2021-10-28,779.374,811.68,149.23,152.065,SHOLAYAR,811.073,143.826,96,146.559,95.932,,,1.204,54.793,97,2661
2021-10-28,115,169,1017.8,254.45,IDAMALAYAR,165.55,918.125,90,229.531,229.531,23.2,,1.796,69.622,90,
2021-10-29,694.944,732.43,1460,2190,IDUKKI,730.99,1379.223,94,2068.835,2027.458,,,14.649,713.163,95,2398.26
2021-10-29,963.168,986.332,31.001,59.46,PAMBA,981.4,21.81,92,845.713,712.33,22,,14.374,399.655,91,
2021-10-29,908.304,981.456,446.542,856.467,KAKKI,979.956,419.125,0,0,,35,,,,,
2021-10-29,779.374,811.68,149.23,152.065,SHOLAYAR,810.7,143.062,96,145.78,95.422,5,,1.186,55.979,96,2660.7
2021-10-29,115,169,1017.8,254.45,IDAMALAYAR,165.51,916.985,90,229.246,229.246,2.8,,1.435,71.057,90,
2021-10-30,694.944,732.43,1460,2190,IDUKKI,731.002,1379.885,95,2069.828,2028.431,0.4,,17.278,730.441,94,
2021-10-30,963.168,986.332,31.001,59.46,PAMBA,981.65,22.26,92,844.06,710.938,,,18.745,418.401,92,
2021-10-30,908.304,981.456,446.542,856.467,KAKKI,979.871,417.813,0,0,,1,7.299,,,,
2021-10-30,779.374,811.68,149.23,152.065,SHOLAYAR,810.89,142.297,95,145,94.912,,,1.152,57.131,96,
2021-10-30,115,169,1017.8,254.45,IDAMALAYAR,165.48,916.12,90,229.03,229.03,,,1.419,72.476,90,
2021-10-30,1735.836,1758.696,7.787,22.738,KUNDALA,1758,7.25,93,164.323,71.075,0.2,,0.614,29.929,93,
2021-10-30,1554.48,1599.59,55.217,161.234,MADUPPATTY,1597.45,49.025,89,0,,4,,,,89,
2021-10-30,737.616,758.037,33.99,42.827,KUTTIADI,748.589,13.119,39,229.406,222.124,9,,0.837,87.18,41,
2021-10-30,750.5,775.6,201,253.26,THARIODE,772.95,168.95,84,0,,,,,,84,
2021-10-30,1188,1207.008,48.968,65.616,ANAYIRANKAL,1206.4,46.13,94,122.208,43.019,,,5.293,124.352,93,
2021-10-30,678.8,707.745,47.4,63.516,PONMUDI,707.3,45.07,95,0,,,1.944,,,95,
2021-10-30,445,456.59,5.557,4.835,NERIAMANGALAM,456.15,5.235,94,4.554,2.145,,2.68,2.785,108.509,94,
2021-10-30,405.689,423.976,30.356,10.625,PORINGAL,419.8,19.25,63,6.738,6.738,,4.213,1.972,135.861,64,
2021-10-30,844.86,847.6,1.614,0.71,SENGULAM (SBR),846.43,,0,0,,,,,,,
2021-10-30,237.74,253,4.55,2.093,LOWER PERIYAR,251,3.69,81,1.697,1.697,,,0.461,66.763,95,
2021-10-30,181.36,192.63,1.16,0.358,KAKKAD,190.8,,0,0,,,,,,,
2021-10-31,694.944,732.43,1460,2190,IDUKKI,731.008,1380.216,95,2070.324,2028.918,4.6,,17.758,748.198,95,
2021-10-31,963.168,986.332,31.001,59.46,PAMBA,981.5,21.99,91,837.359,705.293,,,10.144,428.545,92,
2021-10-31,908.304,981.456,446.542,856.467,KAKKI,979.688,414.589,0,0,,,5.64,,,,
2021-10-31,779.374,811.68,149.23,152.065,SHOLAYAR,810.768,141.136,95,143.817,94.138,,,0.799,57.931,95,
2021-10-31,115,169,1017.8,254.45,IDAMALAYAR,165.39,913.51,90,228.378,228.378,,,1.101,73.577,90,
