,gep01,gep02,gep03,gep04,gep05,gep06,gep07,gep08,gep09,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20,gep21,gep22,gep23,gep24,gep25,gep26,gep27,gep28,gep29,gep30
gep01,2.3637877348846716,2.072452859508193,2.0354788934080643,2.099807073939717,2.17782214654976,2.217752988210782,2.11934374003699,2.3318838050306976,2.3380820894416146,2.0664866790633654,2.0433588112182104,2.193244242631628,2.2545366475209385,2.2989744551999984,2.132655916512039,2.2558373862347456,2.1191400252834005,2.261063475880342,2.3228942413557636,2.3271912256049365,1.9311087028283103,2.146441809416029,2.0488824018514635,2.2573639799891065,2.264837033488721,2.1253155822811043,2.271146207937495,1.9235762749060998,2.278775319477653,2.0176771041071433
gep02,3.8722774626757723,1.6662761631848293,1.614252830612347,1.6498239257872322,1.7655377003530028,1.7992637247267134,1.70032968304713,2.8985274570488833,2.500256467744532,2.13616689900245,1.64893499732995,1.7831402303177608,1.8553616571797094,1.907626446310931,1.709021984144681,2.824745556559171,1.681860514490222,2.929069251526813,1.937347684559678,2.5667928766410992,1.5052284798570401,1.6986498566048596,1.646052362800667,1.9060633409939913,3.0316519512183886,1.7245662671016433,2.1902105624232786,1.505979624785399,1.8924979678057487,1.5765027000334662
gep03,14.551609421639014,3.3688411285218463,1.6134944450289421,1.6498239257872322,2.337700439182732,1.798732668288454,1.6994959887168921,6.097371033972526,5.011781402457259,3.958897168576403,1.9916854291559465,1.783141880058412,1.8544919564465174,2.0490120415106574,1.7082391564581225,5.85258726447185,1.6878519117830233,7.106688571023338,2.0101822753083054,5.085519486377614,1.5044700576642118,1.698192486292782,1.6452321211684267,1.9485188612656257,8.866779580420754,2.7029947806525274,3.562646695139025,1.6042647385019473,2.5390276231204103,1.5825807310738933
gep04,51.48131047446519,17.08725450287791,4.614673019676902,0.9523265144094826,11.909172691901077,1.4679275474817102,4.770352906605795,24.53083778526641,26.58661850636296,15.195191069732678,10.5023637157994,2.2290642562498006,5.583221178760901,8.768397047131872,4.086914213209039,22.965959274557306,1.5448374669098688,26.361011957765953,10.598530848320037,21.762905297028947,3.50495107898617,2.6945951789232474,4.5457506867909485,8.501401348244709,32.482002533835065,15.706234626312655,16.588561127347152,4.078276885879288,12.567795451390403,4.021838752596866
gep05,3.8722774626757723,1.6662761631848293,1.614252830612347,1.6498239257872322,1.7655377003530028,1.7992637247267134,1.70032968304713,2.8985274570488833,2.500256467744532,2.13616689900245,1.64893499732995,1.7831402303177608,1.8553616571797094,1.907626446310931,1.709021984144681,2.824745556559171,1.681860514490222,2.929069251526813,1.937347684559678,2.5667928766410992,1.5052284798570401,1.6986498566048596,1.646052362800667,1.9060633409939913,3.0316519512183886,1.7245662671016433,2.1902105624232786,1.505979624785399,1.8924979678057487,1.5765027000334662
gep06,46.1746764356958,14.587339207284433,3.5538004707571162,1.4044066589009228,9.742946876358511,1.4267955854900949,3.7100336308726747,21.49278875982697,22.883009679868074,13.047489946181711,8.820501875394312,1.9834902775980956,4.192972056562222,6.734588510646587,3.0103918869219175,20.173849197495194,1.5148258498485752,23.3251017329139,8.59760492833961,18.674735711170182,3.0515428107218283,2.260884684598525,3.4427667470003533,6.980194090181197,27.966097788608703,13.165851278892028,14.333916957655678,3.5195213741084905,9.685209703746212,3.0406220657000076
gep07,14.551609421639014,3.3688411285218463,1.6134944450289421,1.6498239257872322,2.337700439182732,1.798732668288454,1.6994959887168921,6.097371033972526,5.011781402457259,3.958897168576403,1.9916854291559465,1.783141880058412,1.8544919564465174,2.0490120415106574,1.7082391564581225,5.85258726447185,1.6878519117830233,7.106688571023338,2.0101822753083054,5.085519486377614,1.5044700576642118,1.698192486292782,1.6452321211684267,1.9485188612656257,8.866779580420754,2.7029947806525274,3.562646695139025,1.6042647385019473,2.5390276231204103,1.5825807310738933
gep08,2.4572898531590495,1.6815435046841258,1.6256753869918896,1.6680164954633188,1.7882279455066667,1.8367008815785302,1.7273995475694524,2.0321107162913004,2.232010009914715,1.6202524449490854,1.6546071828602666,1.7995585754630474,1.8864154624348812,1.922758690212131,1.7315016992680436,1.8811665776052362,1.7111538187657687,1.8014986286853412,1.966223995175261,2.4214332893098187,1.5168566648336996,1.7486934694423157,1.6511134430169994,1.93684229238171,2.085045998046132,1.734644451658161,1.9167975934586396,1.5027696526672925,1.9263466821962465,1.6125681212774214
gep09,2.4572898531590495,1.6815435046841258,1.6256753869918896,1.6680164954633188,1.7882279455066667,1.8367008815785302,1.7273995475694524,2.0321107162913004,2.232010009914715,1.6202524449490854,1.6546071828602666,1.7995585754630474,1.8864154624348812,1.922758690212131,1.7315016992680436,1.8811665776052362,1.7111538187657687,1.8014986286853412,1.966223995175261,2.4214332893098187,1.5168566648336996,1.7486934694423157,1.6511134430169994,1.93684229238171,2.085045998046132,1.734644451658161,1.9167975934586396,1.5027696526672925,1.9263466821962465,1.6125681212774214
gep10,2.4572898531590495,1.6815435046841258,1.6256753869918896,1.6680164954633188,1.7882279455066667,1.8367008815785302,1.7273995475694524,2.0321107162913004,2.232010009914715,1.6202524449490854,1.6546071828602666,1.7995585754630474,1.8864154624348812,1.922758690212131,1.7315016992680436,1.8811665776052362,1.7111538187657687,1.8014986286853412,1.966223995175261,2.4214332893098187,1.5168566648336996,1.7486934694423157,1.6511134430169994,1.93684229238171,2.085045998046132,1.734644451658161,1.9167975934586396,1.5027696526672925,1.9263466821962465,1.6125681212774214
gep11,5.364468442583835,1.7482066107323317,1.614252830612347,1.6498239257872322,1.7668968838711805,1.7992637247267134,1.70032968304713,3.4161775662180007,2.8611067009868916,2.3384446265015453,1.6486953026187843,1.7831402303177608,1.8553616571797094,1.9073820789539062,1.7089723456674766,3.4307050749393633,1.681860514490222,3.7239471477854837,1.9372005597969535,3.0511647822071626,1.5052284798570401,1.6986503030557945,1.646052362800667,1.9059703955521567,3.798456586366814,1.7302086015795235,2.400277391971876,1.5058141794638784,1.8993533309417923,1.5763886855828093
gep12,25.611673160235792,6.261150659128195,1.7357339719638505,1.649507603223923,3.611424946003217,1.7983562411027858,1.777791070007103,10.623769221153717,10.145230759226884,6.16366135574418,3.429786034218374,1.7824657812367644,1.9754794713862682,2.6416638313882816,1.8292528951846032,10.073489411933002,1.6874809932126509,12.085079475153611,3.004984782605753,8.641113977691859,1.5837960777511195,1.7226868551239016,1.807354861859601,2.5285607429839567,16.25923380378091,5.304298396264147,5.586770134391711,1.9693128917506724,4.042115946889431,1.9714648890544604
gep13,14.551609421639014,3.3688411285218463,1.6134944450289421,1.6498239257872322,2.337700439182732,1.798732668288454,1.6994959887168921,6.097371033972526,5.011781402457259,3.958897168576403,1.9916854291559465,1.783141880058412,1.8544919564465174,2.0490120415106574,1.7082391564581225,5.85258726447185,1.6878519117830233,7.106688571023338,2.0101822753083054,5.085519486377614,1.5044700576642118,1.698192486292782,1.6452321211684267,1.9485188612656257,8.866779580420754,2.7029947806525274,3.562646695139025,1.6042647385019473,2.5390276231204103,1.5825807310738933
gep14,5.364468442583835,1.7482066107323317,1.614252830612347,1.6498239257872322,1.7668968838711805,1.7992637247267134,1.70032968304713,3.4161775662180007,2.8611067009868916,2.3384446265015453,1.6486953026187843,1.7831402303177608,1.8553616571797094,1.9073820789539062,1.7089723456674766,3.4307050749393633,1.681860514490222,3.7239471477854837,1.9372005597969535,3.0511647822071626,1.5052284798570401,1.6986503030557945,1.646052362800667,1.9059703955521567,3.798456586366814,1.7302086015795235,2.400277391971876,1.5058141794638784,1.8993533309417923,1.5763886855828093
gep15,14.29301097733392,3.2197225434525376,1.6499247653604814,1.592776254708399,2.439854272903716,1.762448949914387,1.7826833577703942,6.023550442381397,5.495187709899755,3.756862769869562,2.054368535736891,1.8631147938320938,1.9604975171688213,2.1115331959820702,1.6755536257592925,6.081532783223807,1.6411276016156824,7.020961259495109,2.105724091857302,5.238072764914267,1.5912534160324872,1.6818025290122192,1.7602752885114017,2.0630809401587356,8.678835632937783,2.733608019554069,3.5652272489670795,1.729964199749464,2.6191504787893094,1.5705996453400521
gep16,2.4572898531590495,1.6815435046841258,1.6256753869918896,1.6680164954633188,1.7882279455066667,1.8367008815785302,1.7273995475694524,2.0321107162913004,2.232010009914715,1.6202524449490854,1.6546071828602666,1.7995585754630474,1.8864154624348812,1.922758690212131,1.7315016992680436,1.8811665776052362,1.7111538187657687,1.8014986286853412,1.966223995175261,2.4214332893098187,1.5168566648336996,1.7486934694423157,1.6511134430169994,1.93684229238171,2.085045998046132,1.734644451658161,1.9167975934586396,1.5027696526672925,1.9263466821962465,1.6125681212774214
gep17,44.72260093065228,13.99179173257524,3.438752651517374,1.4044991956179695,9.245568897063912,1.4268764554528546,3.5944015656065647,20.722271981042773,21.90181712383161,12.558102890004635,8.471771661231836,1.9721051924836983,3.9669657137726504,6.241185847789052,2.8912761196421175,19.49025900988451,1.5143951663263877,22.56595429807642,8.143650327419715,17.892867698488875,3.0199053279410903,2.2323191070725428,3.3137409015826855,6.674219481639768,26.71476582560938,12.556603877644005,13.80420249108941,3.480227105742925,8.93513037010805,2.940430867226893
gep18,2.4572898531590495,1.6815435046841258,1.6256753869918896,1.6680164954633188,1.7882279455066667,1.8367008815785302,1.7273995475694524,2.0321107162913004,2.232010009914715,1.6202524449490854,1.6546071828602666,1.7995585754630474,1.8864154624348812,1.922758690212131,1.7315016992680436,1.8811665776052362,1.7111538187657687,1.8014986286853412,1.966223995175261,2.4214332893098187,1.5168566648336996,1.7486934694423157,1.6511134430169994,1.93684229238171,2.085045998046132,1.734644451658161,1.9167975934586396,1.5027696526672925,1.9263466821962465,1.6125681212774214
gep19,8.218775933265242,2.193810700580859,1.6140616297556887,1.6498239257872322,1.8548636031000074,1.7989692416957515,1.70032968304713,4.323044213037596,3.4596991061877476,2.9337074286403317,1.6831399235880808,1.7831402303177608,1.8553616571797094,1.9078910937535456,1.70852525714962,4.258885703376829,1.6880720424946771,5.012591751325999,1.936595695186179,3.73695794471611,1.5048558397949632,1.6983173669380345,1.6459553988274636,1.9056686550438382,5.3316699107300565,1.8537400371822685,2.7473409050670154,1.5172209370686256,2.005459230814764,1.5761519881229495
gep20,3.031049649257725,1.6665109650623309,1.614252830612347,1.6498239257872322,1.7679092186291763,1.7992637247267134,1.70032968304713,2.5996078331238115,2.2692360485970053,2.0421168760771393,1.64893499732995,1.7831402303177608,1.8553616571797094,1.907626446310931,1.709021984144681,2.324691666395254,1.681860514490222,2.3876201828963093,1.937347684559678,2.2343117450864405,1.5052284798570401,1.6986498566048596,1.646052362800667,1.9060633409939913,2.6566601728880195,1.7247074859788807,2.0763989659383952,1.506029469481178,1.8927677423557419,1.5765970324194942
gep21,14.551609421639014,3.3688411285218463,1.6134944450289421,1.6498239257872322,2.337700439182732,1.798732668288454,1.6994959887168921,6.097371033972526,5.011781402457259,3.958897168576403,1.9916854291559465,1.783141880058412,1.8544919564465174,2.0490120415106574,1.7082391564581225,5.85258726447185,1.6878519117830233,7.106688571023338,2.0101822753083054,5.085519486377614,1.5044700576642118,1.698192486292782,1.6452321211684267,1.9485188612656257,8.866779580420754,2.7029947806525274,3.562646695139025,1.6042647385019473,2.5390276231204103,1.5825807310738933
