,gep01,gep02,gep03,gep04,gep05,gep06,gep07,gep08,gep09,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20,gep21,gep22,gep23,gep24,gep25,gep26,gep27,gep28,gep29,gep30
gep01,2.150385508007178,2.1008197601405456,2.4228943291486686,2.320278555488048,2.2440856046982547,2.2064124061659345,2.3860739641852486,2.4142545369551063,2.8193940572059004,2.2681266181612516,2.452859253972125,49.83631588929453,62.21481372570528,103.78610333270738,1.9324968492787196,2.419909410742495,2.25440313039151,2.3389276218244435,2.0065271057497975,2.234525312043245,1.9519334761799427,2.4515868306478303,2.0981802899490143,2.110856900303021,2.1148568426417755,2.3624203527755436,8.894230221542266,2.42417934243792,2.3276731701126776,2.350369606362735
gep02,2.1506066681995866,2.091077326026152,2.423021420746064,2.3202642546607986,2.244112784810246,2.2065989986435195,2.3860739641852486,2.4087398430193097,2.3738236721802495,2.2683012454096327,2.452859253972125,36.4394662150995,46.890112434027195,80.34183712922787,1.932581860207467,2.4201033557788487,2.2542090978515334,2.3389260417844366,2.0065271057497975,2.2346249482410774,1.9519334761799427,2.4516609786309993,2.098255211485889,2.110856900303021,2.1148568426417755,2.3624203527755436,5.870249734590775,2.4247397423714427,2.203947758544108,2.350369606362735
gep03,3.1662602462816687,2.7401239736952636,2.2911250360490425,2.7437763955426457,3.340223300560817,2.2384264369892537,2.366120392832459,2.548695921582121,8.127712877157991,2.6094589752362487,2.3602896497117896,106.5653679825156,139.32240001275443,1855.578210376951,2.1881006790977313,9.763115919806252,2.213345432787389,2.7301381787671692,1.9818440891737636,2.316660307934871,2.0058397330340583,5.855492688442873,2.3243436179687653,2.078704884445405,2.068317449848543,2.339159583734645,30.106623803886084,2.8600260084561793,8.655144927028932,2.3109030675564983
gep04,2.346570496182718,2.2204858001796723,2.2914167479256853,2.298650667961177,2.7079127858723235,2.08999615442234,2.366207475980997,2.466817852536388,3.4390674304406805,2.3582443752201177,2.3605169840410327,36.41388125643056,55.38025464700041,83.77053821064533,2.1710083530465956,3.536858502600608,2.1798882270421562,2.586486207091512,1.9380589088385094,2.235383945898996,2.002482563881084,2.606968231610341,2.081868386472731,2.048461863858433,2.068317449848543,2.339547164307744,5.297148602343356,2.360292344035187,4.3047885249139055,2.307405764768527
gep05,2.1588330012575634,2.100577069428461,2.4227854029042315,2.320183114163362,2.2438455312134336,2.2062936118249934,2.3860739641852486,2.413898327821264,3.6720938442299462,2.2679698641354156,2.452859253972125,69.42473480495603,85.00658375385368,135.90865526391948,1.9324593742744316,2.4389334293746265,2.278092170211953,2.3389284724909185,2.016386171544619,2.2341925712424313,1.9519334761799427,2.512868107834328,2.0982022527719315,2.110856900303021,2.1148568426417755,2.3624203527755436,13.60568695990753,2.4237845178578823,2.921327927428504,2.36765294436483
gep06,2.3720698163759693,2.2204858001796723,2.2914167479256853,2.337739160937446,2.7079127858723235,2.08999615442234,2.366207475980997,2.466817852536388,3.949388407754805,2.3636869616837926,2.3605169840410327,46.309084305550016,67.58745890345303,105.5250398799598,2.1710083530465956,3.6782691747924945,2.17969386757175,2.586486207091512,1.9380589088385094,2.2352487962163026,2.002482563881084,2.735823840555092,2.0816743940247666,2.048461863858433,2.068317449848543,2.339547164307744,7.960218365179502,2.360292344035187,4.718021389771362,2.307405764768527
gep07,5.188113583303078,4.387382094334825,2.4254738562145937,4.516297799267326,5.755848534814802,3.3115619871396293,2.124554299104362,2.2962458831977486,13.131602265331797,3.6013382613442406,2.3864955981315292,117.16553669262332,151.4917070428534,2845.4394828620743,2.850161447877986,14.99266627301825,2.092939712972425,4.131385471130997,2.7159069409402266,2.2566313695557345,2.552338649400492,9.229423379295723,3.977134436484588,2.725855972674025,2.256854325783201,2.157237148129618,34.65278049690508,3.1696164171777386,13.776027385097507,2.659325660053372
gep08,4.913543561365944,4.24338521794612,2.4178511405016514,4.22052091334223,5.4544490593804555,3.226874947810362,2.1252464025030884,2.287182884914557,11.682227287552617,3.5020992899351207,2.3752960816706157,94.7739257977758,125.56484402086643,616.6687930600492,2.836256666446242,12.576264111014295,2.094278475386773,3.8700221787200833,2.7037230935116634,2.1952432306102128,2.5498781805115325,8.01492852396685,3.807526418817123,2.707013538882343,2.256156323731765,2.157658512991627,24.628868668799356,2.816065442467072,12.335333989612582,2.622211310227291
gep09,2.1507858924624865,2.091077326026152,2.423021420746064,2.320395508151912,2.2443055507839653,2.2065989986435195,2.3860739641852486,2.4087398430193097,2.2162198562643307,2.268396440945177,2.452859253972125,27.688498270894,36.363821126697594,62.89160143348744,1.9326697510401418,2.4201033557788487,2.2543056666724284,2.339032998052119,2.0065271057497975,2.2347604597411874,1.9519334761799427,2.4520235783891056,2.0908615861319904,2.110856900303021,2.1148568426417755,2.3624203527755436,3.893198557315038,2.4247397423714427,2.2040662921850744,2.350369606362735
gep10,2.1588330012575634,2.100577069428461,2.4227854029042315,2.320183114163362,2.2438455312134336,2.2062936118249934,2.3860739641852486,2.413898327821264,3.6720938442299462,2.2679698641354156,2.452859253972125,69.42473480495603,85.00658375385368,135.90865526391948,1.9324593742744316,2.4389334293746265,2.278092170211953,2.3389284724909185,2.016386171544619,2.2341925712424313,1.9519334761799427,2.512868107834328,2.0982022527719315,2.110856900303021,2.1148568426417755,2.3624203527755436,13.60568695990753,2.4237845178578823,2.921327927428504,2.36765294436483
