,gep01,gep02,gep03,gep04,gep05,gep06,gep07,gep08,gep09,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20,gep21,gep22,gep23,gep24,gep25,gep26,gep27,gep28,gep29,gep30
gep01,3.2400042491761725,3.085954411918359,2.991670681803961,3.3558630190388383,6.0942944872764375,3.9015008499770403,3.07079875018727,3.264569765281203,3.363026374581661,18.82576708702545,3.250098586577804,3.127252440278492,3.194530816836392,3.295341151826599,3.0115236704504498,3.2534039786583957,3.35216617166116,3.0728161759082426,3.530511499676593,3.428710383215541,3.2328634706737716,3.191564428762654,4.061907994376948,3.108014607977324,3.253014974222627,3.2257846140734516,3.1291857001670023,3.310704022053429,15.676487754182142,2.9538452648651963
gep02,14.14771220869639,2.5655975386276144,2.7437840145767973,4.2154586146878295,19.170485754284893,37.75941545524091,2.657309527765774,3.030311262376782,3.543655513026435,25.670550638003593,3.167638761958097,3.3080266174209703,2.836992811274908,2.8827186455565283,4.189528962187666,3.5036293342305735,3.0372753109915016,2.570887874799542,3.377093618894505,15.658103260103083,3.123017171911288,3.3050786212286103,26.777190506258897,2.630943882080213,3.136388076125207,6.617264946895556,2.7520511721208694,2.6865116157393087,18.00740831465051,2.6236927090795903
gep03,16.090546468257745,2.6173780784673393,2.7437840145767973,4.247209087536689,25.43553054718271,55.274716469990544,2.69840806838883,3.2106305263117623,3.6136458745205395,37.964799259199935,3.237993631364696,3.3079769580032266,2.836992811274908,2.973147187398985,4.450645946673828,3.691790712335095,3.552408217032625,2.570887874799542,4.070956008480214,17.10245410137095,3.152829323295724,3.3120039037965663,36.518568085618675,2.630943882080213,3.5723643460433103,7.2225697058580485,2.7531010780915146,2.688132680832104,27.01418293720096,2.641784605987474
gep04,6.4885830864386715,2.9526503626500324,2.9447995127993116,3.135537545590663,3.2200472655539274,7.684136645315067,2.9722005191694967,2.97268100524579,3.0015845189377104,3.8092799519922136,2.9661751743398304,3.1026407894993753,2.999781623177034,3.0008762570125183,3.0789204584500593,3.008831058450521,3.000105466141414,2.937213216120996,3.0020036113262214,6.9063219474903565,3.000673566787438,3.03817190402915,3.389816761953311,2.9456008270509244,2.986161457157172,3.0027705749699902,2.9470566249572467,3.0012210990083075,3.0619151839355103,2.9428283629558276
gep05,6.4874150334507075,2.9964495058613134,2.9812554930230664,3.1382901133955734,3.211799685228912,7.683767666895069,2.9991985337489515,2.999969490130796,2.9999814775960867,3.20201948132406,3.001183734079531,3.1010667482161973,3.0001426676659695,2.9988787594660256,3.0802148229090824,3.007139546119334,2.9989959222030826,2.9662266630039693,3.000102578024891,6.9055559037017575,2.9996584463178126,3.0370217630116314,3.388974990070481,2.966095532614383,2.9993279160164836,3.0019145397010902,2.9858073934276685,2.999756506192397,3.0005933593551792,2.9853185643593063
gep06,4.044782191982677,3.219910771831617,3.2084490113728843,3.312555798539541,3.3174246134243144,3.524264302144283,3.236966562667445,3.2629825529460885,3.309875631543014,3.3176962625647883,3.2627475105256094,3.3178778506929976,3.3160418466161046,3.3142704866027124,3.2591635091180544,3.3058828148971524,3.3170238349306813,3.2069136634520383,3.3178820149881973,4.203049707122309,3.280517266606442,3.2751128961744818,3.3163352986359005,3.2616858463854608,3.2577570481237617,3.3140761343034355,3.236232511844405,3.317339136297352,3.31799898202399,3.2085918400391553
gep07,13.188878135776395,2.565856920574237,2.7437840145767973,4.2154586146878295,15.499739835880346,27.564166864036245,2.641294299421014,2.9424549226321646,3.5421169073140817,18.21267777549782,3.1446839846772563,3.3080266174209703,2.836992811274908,2.8690995086326154,4.180808003138499,3.4361969693814203,2.918364064136456,2.570887874799542,3.084485213492503,14.950478588436829,3.123017171911288,3.3050786212286103,21.129047798402073,2.630943882080213,3.032235295075558,6.2514286874778255,2.7520511721208694,2.6872266117712775,12.69247787454708,2.619720421159686
gep08,13.188878135776395,2.565856920574237,2.7437840145767973,4.2154586146878295,15.499739835880346,27.564166864036245,2.641294299421014,2.9424549226321646,3.5421169073140817,18.21267777549782,3.1446839846772563,3.3080266174209703,2.836992811274908,2.8690995086326154,4.180808003138499,3.4361969693814203,2.918364064136456,2.570887874799542,3.084485213492503,14.950478588436829,3.123017171911288,3.3050786212286103,21.129047798402073,2.630943882080213,3.032235295075558,6.2514286874778255,2.7520511721208694,2.6872266117712775,12.69247787454708,2.619720421159686
gep09,6.604346704015772,2.9408449891363473,2.904023238905117,3.136835965740893,4.050740968868978,8.604016136860126,2.9348341735558887,2.9514325636107803,2.994516962276306,7.418337185718681,2.948914500952071,3.1037588489187495,3.0012202988977195,3.001597008714404,3.051434640431291,3.0062022420883756,3.001152235478581,2.8919772074039085,3.0029196709688497,7.043586119033134,2.977902550110783,3.0123412989540435,5.009689031284648,2.946742609945492,2.9675583669989227,3.0035723093072297,2.9213804602526405,3.001805483766189,4.738734676797747,2.903981216522879
gep10,6.4874150334507075,2.9964495058613134,2.9812554930230664,3.1382901133955734,3.211799685228912,7.683767666895069,2.9991985337489515,2.999969490130796,2.9999814775960867,3.20201948132406,3.001183734079531,3.1010667482161973,3.0001426676659695,2.9988787594660256,3.0802148229090824,3.007139546119334,2.9989959222030826,2.9662266630039693,3.000102578024891,6.9055559037017575,2.9996584463178126,3.0370217630116314,3.388974990070481,2.966095532614383,2.9993279160164836,3.0019145397010902,2.9858073934276685,2.999756506192397,3.0005933593551792,2.9853185643593063
