,gep01,gep02,gep03,gep04,gep05,gep06,gep07,gep08,gep09,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20,gep21,gep22,gep23,gep24,gep25,gep26,gep27,gep28,gep29,gep30
gep01,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9474226546270772,1.0226560638652906,1.119987864142624,1.040770408477691,1.1683232348636312,1.138933429177281,1.1030341249763402,1.010331548169743,1.057422045401367,1.1932932377465233,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1400936055421156,0.9463438870114876,1.2007639304592843,1.0617878209760092,1.075180314422037,1.3296404853882984,1.346297286127909,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep02,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9474226546270772,1.0226560638652906,1.119987864142624,1.040770408477691,1.1683232348636312,1.138933429177281,1.1030341249763402,1.010331548169743,1.057422045401367,1.1932932377465233,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1400936055421156,0.9463438870114876,1.2007639304592843,1.0617878209760092,1.075180314422037,1.3296404853882984,1.346297286127909,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep03,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9474226546270772,1.0226560638652906,1.119987864142624,1.040770408477691,1.1683232348636312,1.138933429177281,1.1030341249763402,1.010331548169743,1.057422045401367,1.1932932377465233,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1400936055421156,0.9463438870114876,1.2007639304592843,1.0617878209760092,1.075180314422037,1.3296404853882984,1.346297286127909,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep04,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9463200212394679,1.0226560638652906,1.1082022243115264,1.040770408477691,1.1683232348636312,1.118112927950069,1.1030341249763402,1.010331548169743,1.057422045401367,1.1803779943956139,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1325521153424554,0.9463438870114876,1.1694002295864447,1.0617878209760092,1.075180314422037,1.231580215126848,1.1234034067384906,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep05,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9474226546270772,1.0226560638652906,1.119987864142624,1.040770408477691,1.1683232348636312,1.138933429177281,1.1030341249763402,1.010331548169743,1.057422045401367,1.1932932377465233,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1400936055421156,0.9463438870114876,1.2007639304592843,1.0617878209760092,1.075180314422037,1.3296404853882984,1.346297286127909,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep06,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9463200212394679,1.0226560638652906,1.1082022243115264,1.040770408477691,1.1683232348636312,1.118112927950069,1.1030341249763402,1.010331548169743,1.057422045401367,1.1803779943956139,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1325521153424554,0.9463438870114876,1.1694002295864447,1.0617878209760092,1.075180314422037,1.231580215126848,1.1234034067384906,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep07,1.0684308462830399,1.0824492445943124,1.1560979262924036,1.0873686910175675,1.024456282904402,1.521987757025998,1.0395895407119748,1.319580847502521,1.5833593353377347,1.1720790737600493,1.0601690198598737,1.0568885878656122,1.7104556666462127,1.0399382846366072,1.136126619789643,1.0739198883702983,1.0567477779648358,1.0516329841944154,1.0737756969552326,0.9912378364738507,1.4078318211068843,0.9472587220204056,1.9623363134496181,1.1178414922493574,1.1868126561484276,2.528437433089625,2.385323747577336,1.1532458260703218,1.0613463308521776,0.9382049708597159
gep08,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9474226546270772,1.0226560638652906,1.119987864142624,1.040770408477691,1.1683232348636312,1.138933429177281,1.1030341249763402,1.010331548169743,1.057422045401367,1.1932932377465233,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1400936055421156,0.9463438870114876,1.2007639304592843,1.0617878209760092,1.075180314422037,1.3296404853882984,1.346297286127909,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep09,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9463200212394679,1.0226560638652906,1.1082022243115264,1.040770408477691,1.1683232348636312,1.118112927950069,1.1030341249763402,1.010331548169743,1.057422045401367,1.1803779943956139,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1325521153424554,0.9463438870114876,1.1694002295864447,1.0617878209760092,1.075180314422037,1.231580215126848,1.1234034067384906,1.1463162745189757,1.0564656117811924,0.9171868582215223
gep10,1.0520364917321654,1.0744810341759403,1.0563203010652966,0.9474226546270772,1.0226560638652906,1.119987864142624,1.040770408477691,1.1683232348636312,1.138933429177281,1.1030341249763402,1.010331548169743,1.057422045401367,1.1932932377465233,1.039987543031296,1.1269634187894406,1.0744128575980947,1.0239524514821778,1.024127309653828,1.074519129814427,0.9907393684579882,1.1400936055421156,0.9463438870114876,1.2007639304592843,1.0617878209760092,1.075180314422037,1.3296404853882984,1.346297286127909,1.1463162745189757,1.0564656117811924,0.9171868582215223
